user_id,install_date,country,acquisition_source
9192a9df-395a-4cbc-84d4-69be93b3b2c2,2024-09-23,DE,paid_facebook
8a8939cb-0b9a-4d01-a4cf-6a804e6581e1,2024-06-26,UK,paid_facebook
27d060ae-b208-4810-965c-5bd6e68983d1,2025-03-09,FR,organic
19898093-93fe-4aec-94ff-6f6088dc64c0,2025-02-06,DE,organic
a7704ec1-e08b-43e0-9573-0a9fdd72c4d4,2025-01-15,UK,paid_facebook
6e60c59a-046b-43ae-a54f-ee16e0522bb4,2024-10-21,DE,paid_facebook
beae8898-8361-4e40-a26a-3483918b4cb0,2024-09-13,DE,organic
35d0912c-f7ca-49c0-8117-3ffda5bb5fd9,2024-08-29,UK,paid_google
daa29edf-6730-4f71-833e-9c8a4c919c8c,2025-08-07,UK,paid_facebook
759bd904-1f07-4d27-90aa-2234b0ac9b89,2024-07-03,US,organic
43979e04-f0cf-4149-91b8-11fbe26235e5,2024-07-01,DE,paid_facebook
00d55f5f-e9aa-42bd-8f37-f75b0f294743,2024-09-04,US,organic
a19b85dc-b0d5-4b14-a0c6-d3565cd3fdb5,2025-01-10,UK,paid_facebook
f6729cde-cf88-413b-80d1-cf3ad8ee06a9,2025-01-25,US,paid_google
923845ff-024c-4ada-bcbe-e3ba699b730d,2025-10-31,FR,referral
2510722b-1b16-4409-9670-75074e760cec,2024-06-28,FR,paid_google
d6679908-584c-40ac-badf-211753e50ce8,2024-12-21,FR,paid_facebook
af2cbb3d-0551-416e-a091-c30f29bfe0d6,2025-08-04,DE,paid_facebook
63241c56-1197-4bf4-8aa1-c04021b7fd6b,2025-01-12,UK,organic
a3992d5b-5865-42d3-9cdf-fe1de646b7e0,2025-09-03,UK,organic
5903440b-50e5-4d7a-baf9-608b1f1e6b2d,2025-03-12,FR,paid_facebook
d2764cf2-3e30-4980-b2b8-81ebcfb9e1d4,2024-06-07,FR,organic
e6694c56-2b8e-4569-8a12-e6fcf0e1c693,2024-11-11,DE,paid_google
c6dec813-206d-456c-9e4f-ca2e2e10637a,2025-08-07,FR,paid_google
e6d7a60e-55b2-414c-86e8-75c47b0870b9,2025-05-15,UK,organic
058bd1e3-b8d1-4c58-9eb9-f2a1132a0767,2025-03-12,UK,paid_facebook
0d993584-b5f5-435c-9347-b84cc83b7fe7,2024-11-07,US,paid_google
e39625ca-eb36-475c-b9eb-9aa5383a3199,2025-01-07,UK,paid_google
1ee46168-2720-4065-a7df-447bf1d584fd,2025-05-11,FR,paid_google
583abdef-3a68-4a69-8698-961c9f9092e3,2024-09-13,UK,organic
69138937-2816-430b-975b-e2b23ef428b0,2024-09-03,FR,organic
36582a0c-b636-496a-b9f8-6a2c2aa00815,2025-06-25,UK,paid_facebook
df2b7076-2382-462d-9dd9-224f19b05102,2024-09-08,DE,organic
e0d82324-1b43-41d4-a90c-a16542181412,2025-06-03,FR,referral
b45e3df7-0ee5-48c3-8d7e-7f2b5b96b124,2025-05-19,FR,organic
25f1afb4-09ac-4e6f-a380-df16eb333912,2025-02-26,DE,referral
009831e0-5c3a-4df4-92fc-c11fbb77bbac,2024-07-15,FR,paid_facebook
9b495422-aeda-498a-ad65-77e40e1406a5,2025-09-14,DE,organic
d0b43950-16d8-488d-bb5d-a81f701fb476,2024-10-06,US,paid_google
3fd0413f-5e62-4a6d-903b-a4d86396feb5,2025-06-23,US,paid_google
8c8cffa0-6c7e-4031-bf39-d0d4708f384e,2024-08-20,US,paid_facebook
00c39aec-b5cf-4446-ae67-df16abcace35,2025-03-28,DE,organic
a501ea6f-85e8-4245-9b6f-de7b0f7b3aa2,2025-06-06,FR,organic
db019634-86af-4f37-ba2a-4dea0a518ed3,2024-12-14,FR,paid_google
87213bb6-9f35-4e8c-ac33-e4f6cbe4ee5e,2024-08-11,US,paid_google
6570d060-69e2-4aa4-b81d-8878180905f6,2024-07-17,DE,organic
7e87b5bd-de8a-455e-9c6d-c3fbcb0000b1,2025-01-20,US,organic
340a301e-d915-46f8-ab6c-8738f6eb237c,2025-03-24,UK,organic
cff9d431-c3ff-412e-9e7f-46466737a46f,2024-08-21,DE,paid_google
acb42e78-17c9-4e3d-b708-d549a7d9b33c,2025-01-25,DE,organic
8ce8f51c-241d-4633-98bf-f486d80743f1,2024-09-12,FR,referral
10934590-d3cc-431e-b2f3-dae23ad2c73e,2025-06-25,US,paid_facebook
ab81240b-f996-4f01-9404-6f70eb81085f,2025-03-12,FR,organic
bd2a5ca8-063c-4a42-9265-f2fdc7256981,2025-09-08,DE,organic
bcbbf33c-5059-4ae3-8aa6-f88b1e89d56b,2025-06-09,DE,paid_google
36f62aca-f826-42ae-ba7a-5650a8400990,2024-11-14,UK,paid_google
d2e38cef-b8e0-45a2-87bb-e55540389e0e,2025-06-15,FR,paid_facebook
440e1a4d-c74f-47c5-8617-4765348f69af,2025-05-30,UK,paid_google
53a15876-3736-4f7d-b3f3-8037d39ece8e,2025-01-01,FR,paid_facebook
cda34bb0-145c-4b2e-9e00-810569d46173,2025-03-01,US,organic
64f3504d-9834-4d70-8d18-25e22b403c1e,2024-08-13,FR,paid_facebook
1dbd15af-cca6-45bf-a7f9-4da9b7858883,2024-11-23,FR,organic
1180594c-4417-4da9-8dd3-78697138712b,2025-02-06,US,organic
fdf4149e-30fd-466e-b31d-e19201a6e937,2024-11-15,FR,organic
6bcf7f23-b560-44fe-a5e6-65a3242c4ebf,2025-09-17,UK,paid_google
7c36ffbf-3c63-4ae5-9c82-3b94cc8d993e,2025-06-24,US,paid_google
a859facf-0fa9-4d55-bed4-7d23c2e9c109,2025-03-04,DE,referral
566e3880-077c-4f67-b3bf-96fba27d9206,2025-01-11,US,paid_google
3ea60c8a-6eb0-4afa-a4e9-732f83595d06,2025-04-29,FR,paid_google
84fbe023-a51f-466f-a792-6a95d1f10571,2024-07-28,DE,paid_facebook
c7a9af4c-255e-41e2-9ea8-0bb63bd1493d,2025-01-21,FR,paid_google
0d2e1a19-53bc-4a00-8039-3128e2fe20f0,2024-07-03,UK,organic
0fedf6d9-faa5-4007-9661-dd9393b5c1d9,2025-04-20,DE,organic
801605ee-4ec3-452b-aa3d-7302f1dd5cdc,2025-07-16,UK,paid_facebook
c705bd4a-c735-4691-8ad1-1214b85d2925,2025-03-02,UK,organic
0e277a37-7f41-4d74-ad14-167e41045e45,2024-08-07,DE,paid_facebook
8e3ee4c4-d726-4614-bfc8-4113e81f522d,2025-01-03,UK,paid_google
bbf4d17c-e544-4a5a-a19b-de3dff43c3d7,2025-04-19,US,paid_google
ac0e1452-e9ec-4a3b-a7c5-27741152ad3f,2025-01-04,FR,organic
222b430c-ea28-4dfb-a4bd-ef7cf4d2a00b,2025-10-25,UK,referral
1bd72191-4684-40b4-a992-ed9337e5152e,2025-07-11,FR,organic
faf13aeb-a70b-4d13-b89d-96d7c6829039,2025-09-13,FR,organic
c9dd1794-5b8e-4c49-afb3-83daf5353de9,2024-10-25,UK,organic
9f6ded34-b620-4876-bcb0-f9a7203bdd2b,2025-02-27,UK,referral
57469d15-acaf-4739-923c-4342afbb2e33,2024-10-21,DE,paid_facebook
342f890c-1aa1-4d3a-993b-714577b1badb,2025-02-08,US,organic
ca19b906-2f83-4e71-8efb-8b5101bf81e0,2025-02-25,US,organic
c8bffc13-9585-4bd7-8c36-ae7b3bc2d804,2025-08-13,UK,organic
8272f18b-9762-4743-9378-3af4fbbb109a,2025-07-14,FR,organic
b9b4b1b4-8013-4905-8cb1-f92005913bdc,2025-06-06,DE,organic
f1df3831-cbf4-45b0-9508-0227591db2c0,2025-01-11,UK,referral
2c5e63cf-9455-4290-ae9e-bfaacee3a3d3,2024-10-20,US,paid_facebook
0fd4ebf8-e5ac-4884-8a08-82791a9cd729,2025-10-19,UK,paid_facebook
f3247aa5-09f1-420e-8ad9-74b4b0cce7b9,2024-09-02,UK,paid_google
67f230d3-b20a-49aa-b91f-a11fb5a8237c,2024-07-19,FR,paid_facebook
fcb75881-fd17-47e9-a768-051d38c50d27,2024-09-21,UK,referral
a024b925-6dfa-4f84-befa-69e9085192b2,2024-11-04,DE,paid_google
bb36ea02-cb72-43fe-8e73-ef6084af9a75,2024-11-11,DE,paid_facebook
a56792d6-3416-4943-84c0-2d54631659ce,2025-08-07,UK,paid_facebook
d8fe2f7e-ac76-4458-98f7-5bb23d81b30b,2024-08-05,FR,organic
703063a3-819f-4898-8884-3a74b5b1371a,2025-06-30,FR,paid_google
28a54d8c-0b97-44f1-bd9f-7ff4413e7caa,2025-06-26,DE,paid_google
